coverlip code,treatment,values
B,MTMR2,10.611
B,MTMR2,12.386
B,MTMR2,4.732
B,MTMR2,39.175
B,MTMR2,77.406
B,MTMR2,57.74
B,MTMR2,57.761
B,MTMR2,13.817
B,MTMR2,70.206
B,MTMR2,130.502
B,MTMR2,87.744
B,MTMR2,79.208
B,MTMR2,12.303
B,MTMR2,10.205
B,MTMR2,92.893
B,MTMR2,28.318
B,MTMR2,9.374
B,MTMR2,43.102
B,MTMR2,47.293
B,MTMR2,76.273
B,MTMR2,17.529
B,MTMR2,103.401
B,MTMR2,120.551
B,MTMR2,75.018
B,MTMR2,15.341
B,MTMR2,26.495
B,MTMR2,64.117
B,MTMR2,90.586
B,MTMR2,10.759
B,MTMR2,54.988
B,MTMR2,95.474
B,MTMR2,114.818
B,MTMR2,14.304
B,MTMR2,59.845
B,MTMR2,7.482
B,MTMR2,41.703
B,MTMR2,15.586
B,MTMR2,47.98
B,MTMR2,13.101
B,MTMR2,134.056
B,MTMR2,37.07
B,MTMR2,83.763
B,MTMR2,17.848
B,MTMR2,27.99
B,MTMR2,161.567
B,MTMR2,11.055
B,MTMR2,80.948
B,MTMR2,54.247
B,MTMR2,6.251
B,MTMR2,62.052
B,MTMR2,31.733
B,MTMR2,52.517
B,MTMR2,57.914
B,MTMR2,88.3
B,MTMR2,78.187
B,MTMR2,58.618
B,MTMR2,15.547
B,MTMR2,136.442
B,MTMR2,117.963
B,MTMR2,28.231
B,MTMR2,25.133
B,MTMR2,80.895
B,MTMR2,151.245
B,MTMR2,6.629
B,MTMR2,85.373
B,MTMR2,58.346
B,MTMR2,13.23
B,MTMR2,40.048
B,MTMR2,43.657
B,MTMR2,18.705
